name,format,success
2107421 PS% + - (Domestic),,FALSE
2107421 Shots pG + - (Domestic),ss.SS,TRUE
2297243 FTE Semester All Courses Show SUM,ss.SS,TRUE
2297527 Contract Award Date,yyyy-MM-dd,TRUE
2297527 Contract Expiration Date,yyyy-MM-dd,TRUE
2297527 Current Completion Date,yyyy-MM-dd,TRUE
2297527 Date Signed,yyyy-MM-dd,TRUE
2297527 Effective Date,yyyy-MM-dd,TRUE
2297527 Month,yy - MMMM,TRUE
2297559 IncomeSource,,FALSE
2297652 Full-Time Equivent (FTE),MMddyy,TRUE
2297881 data entry by,,FALSE
2298064 Time Answered ACD,HH:mm:ss,TRUE
2298064 User Talk Time,HH:mm:ss,TRUE
2298176 Month,yyyy/MM,TRUE
2298320 DataSet_code,NEMM,TRUE
2298500 CountryDataSource,,FALSE
2298902 402 Domestic Jugglers 1,HH.mm,TRUE
2298902 402 Domestic Jugglers,HHmmss.SS,TRUE
2299039 Uptime,MM.yy,TRUE
2299060 Domestic,MMyy,TRUE
2299130 Candidate,,FALSE
2299181 Average of Male MONTHS LONGEVITY IN CURRENT CLASSIFICATION,mmss.SS,TRUE
2299181 Total Average of MONTHS LONGEVITY IN CURRENT CLASSIFICATION,mmss.SS,TRUE
2299263 time,EEE MMM dd HH:mm:ss Z yyyy,TRUE
2299370 Time,hh:mm:ss a,TRUE
2299527 Total Average of MONTHS LONGEVITY IN CURRENT CLASSIFICATION,mmss.SS,TRUE
2300229 Ã_Â‰ÂŒ_Ã_Â€ÂŒÃ¯Ã_Â‰ÂŒÃ‡,yy,TRUE
2300552 Date of death   Reported,dd-MMM-yy,TRUE
2300552 Date of hospitalisation,dd-MMM-yy,TRUE
2300868 disk_data_read,HHmmss.SS,TRUE
2300868 disk_data_written,HHmmss.SS,TRUE
2300868 net_data_recv,HHmmss.SS,TRUE
2300868 net_data_sent,HHmmss.SS,TRUE
2300868 time,HHmmss.SS,TRUE
2300994 disk_data_read,HHmmss.SS,TRUE
2300994 disk_data_written,HHmmss.SS,TRUE
2300994 hdd_data_read,HHmmss.SS,TRUE
2300994 net_data_recv,HHmmss.SS,TRUE
2300994 net_data_sent,HHmmss.SS,TRUE
2300994 Time(Seconds),mmss,TRUE
2300994 time,HHmmss.SS,TRUE
2300994 uptime,HHmmss.SS,TRUE
2301046 Days diff bt Billing Stmt Sent Dt Vs. Due Date,dd,TRUE
2301046 Days Diff bt Prem Amt Rcvd Dt & Refund Dt,yy,TRUE
2301046 Initial FPI Notice Sent date,dd/MMM/yy,TRUE
2301115 End date,hh:mm a,TRUE
2301138 net_data_recv,HHmmss.SS,TRUE
2301138 net_data_sent,HHmmss.SS,TRUE
2301138 uptime,HHmmss.SS,TRUE
2301411 Created_Source_Code_ID,,FALSE
2301411 Domestic International Status (group),,FALSE
2301411 domesticInternationalStatus,,FALSE
2301492 DAY Accum Time,ss.SS,TRUE
2301492 Year-Month,yyyy-MM,TRUE
2301839 disk_data_read,mmss.SS,TRUE
2301839 disk_data_written,HHmmss.SS,TRUE
2301839 net_data_recv,HHmmss.SS,TRUE
2301839 net_data_sent,HHmmss.SS,TRUE
2301839 Time(Minutes),mm,TRUE
2301839 Time(Seconds),mmss,TRUE
2301839 time,HHmmss.SS,TRUE
2301839 uptime,mmss.SS,TRUE
2302391 Time,MM-dd-yyyy HH:mm:ss (zzz),TRUE
2302515 TIME,yyyy,TRUE
2302640 Runtime Vac Minutes,MMyy,TRUE
2303590 Time,,FALSE
2304040 Date,yyyyQQQ,TRUE
2304645 Start Date,yyyy-MM-dd HH:mm:ss,TRUE
2305376 LOGTIME_Ã_Â‰ÂŒÂç__Ã_Â‰ÂŒÃ«Ã_Â€ÂŒ_Ã_Â€ÂŒÂ_-FIRST_LOGOUT_DATE,MMyy,TRUE
2305682 Date,yyyyMMdd,TRUE
2305825 Anytime fitness,MM,TRUE
2306129 Dataxis ID,MMyy,TRUE
2306296 disk_data_read,mmss.SS,TRUE
2306296 disk_data_written,HHmmss.SS,TRUE
2306296 net_data_recv,HHmmss.SS,TRUE
2306296 net_data_sent,HHmmss.SS,TRUE
2306296 Time(Minutes),dd,TRUE
2306296 time,mmss.SS,TRUE
2306296 uptime,mmss.SS,TRUE
2306320 Y-month,yyyyMM,TRUE
2306479 Time (years),MM,TRUE
2306657 Datum (tot),dd-MM-yyyy HH:mm,TRUE
2306657 Datum (van),dd-MM-yyyy HH:mm,TRUE
2306711 Time,dd,TRUE
2306817 Pay DTT,HHmmss.SS,TRUE
2306940 ID_DATA,yyyyMMdd,TRUE
2307098 If you could learn anything in the next 12 months what would that be ,,FALSE
2307105  DATE ,yyyy-MM-dd,TRUE
2307131 Date,yyyy-MM-dd,TRUE
2307131 Time Played,yy,TRUE
2307255 Month,MMM-yy,TRUE
2307255 People on CPA for 12 months with CPA review,yy,TRUE
2307255 People on CPA for 12 months,yy,TRUE
2307328 Avg Playtime (h),HH.mm,TRUE
2307330 2.Sent on time delay bins (group),,FALSE
2307330 2.Sent on time delay bins,HH-mm,TRUE
2307330 4.Response Timeliness bins,HH-mm,TRUE
2307330 6.Timeliness bins,mm-ss,TRUE
2307330 Sent on time delay bins (group),,FALSE
2307330 Sent on time delay bins,HH-mm,TRUE
2307762 Date,yyyy,TRUE
2307773 DATA1,mmss.SS,TRUE
2307873 Page Width,ss.SS in.,TRUE
2307965 Data,ss.SS,TRUE
2308304 Creation Date,yyyy-MM-dd HH:mm:ssZ,TRUE
2308304 Discounts Names,,FALSE
2308308 SIS Time Pressure,ss.SS,TRUE
2308324 DATA Source DESC,,FALSE
2308324 DATA Source ID,mm,TRUE
2308324 statement_date_year,yyyy,TRUE
2308335 Investimento,mmss.SS,TRUE
2308497 All the time,dd,TRUE
"2308497 During the past 12 months, you have ",,FALSE
"2308497 On the average, how much time do you spend reading an eBook ",,FALSE
2308497 Sometimes 1,HH.mm,TRUE
2308699 Date Of Birth,MM/dd/yyyy,TRUE
2308699 Outcome Age As Month,yy,TRUE
2308844 DT_INI_VIGENCIA,dd/MM/yyyy,TRUE
2308988 width,,FALSE
2309138 GEO TIME,,FALSE
2309261 Envelope Dispatch Date,MM/dd/yyyy HH:mm:ss,TRUE
2309261 To Date,MM/dd/yyyy HH:mm:ss,TRUE
2309395 Attribute_Names,Attribute_OtherMM,TRUE
2309478 Time on Site,HH:mm:ss,TRUE
2309722 time served,yy,TRUE
2310343 Created At UTC,yyyy-MM-ddTHH:mm:ss.SSSZ,TRUE
2310509 date,"MMM dd, yyyy hh:mm:ss a",TRUE
2311405 Mes,ddMMMyy,TRUE
2311518 Ã_Â‰ÂŒ_Ã_Â€ÂŒÃ¯Ã_Â‰ÂŒÃ‡Ã_Â‰ÂŒÃ«Ã_Â‰ÂŒÂùÃ_Â€ÂŒÃ_Ã_Â‰ÂŒÃ«_Ã_Â‰ÂŒÃ‚Ã_Â‰ÂŒÃ«Ã_Â‰ÂŒÂç_Ã_Â‰ÂŒ_Ã_Â‰ÂŒÂ«Ã_Â‰ÂŒÃ§,ss.SS,TRUE
2311978 date,dd,TRUE
2313266 Mes,MMM,TRUE
2313609 created_at,<Unix ms>,TRUE
2313704 Sentiment,HH.mm,TRUE
2314125 Average monthly SNAP $ benefits,MMyy,TRUE
2314125 Avg monthly # Schl-Breakfast participants,HHmmss,TRUE
2314125 Avg monthly # School-Lunch participants,HHmmss,TRUE
2314125 Avg monthly # SNAP participants,HHmmss,TRUE
2314125 Avg monthly # Summer-Food participants,MMyydd,TRUE
2314125 Avg monthly # WIC participants ,HHmmss,TRUE
2314271 Domestic Credit,MM.yy,TRUE
2314334 FECHA __________________________________,,FALSE
2314439 MONTH_DAY,MM/yy,TRUE
2314506 Candidate Loans,,FALSE
2314506 Candidate1,,FALSE
2314668 IDATE,MMddyyyy,TRUE
2314668 SLEPTIME,dd,TRUE
2315026 Project Management Months,mm.ss,TRUE
2315047 Dataset Section,Part MMA,TRUE
2315138 updated,yyyy-MM-ddTHH:mm:ss.SSSZ,TRUE
2315303 Months Until Launch,mm,TRUE
2315664 Month2ndRead,ss.SS,TRUE
"2315694 Immunization, measles (% of children ages 12-23 months)",yy,TRUE
"2315694 Presence of peace keepers (number of troops, police, and military observers in mandate)",dd,TRUE
2315873 MONTH,MMMM,TRUE
2316078 Date (group),yyyyQQQ,TRUE
2316371 Game time,"hh:mm a ET, MMMM dd, yyyy",TRUE
2316465 Fecha,dd,TRUE
2316577 Avg. Monthly Searches (exact match only),yy,TRUE
2316752 DateTime,yyyy/MM/dd HH:mm:ss,TRUE
2317055 KPs pG + - (Domestic),ss.SS,TRUE
2317055 LB Success% + - (Domestic),ss.SS,TRUE
2317055 PS% + - (Domestic),ss.SS,TRUE
2317055 SOT% + - (Domestic),ss.SS,TRUE
2317055 Tackle Success% + - (Domestic),ss.SS,TRUE
2317055 TB Success% + - (Domestic),ss.SS,TRUE
"2317136 Table 2c  Estimated population by sex, five year age group1 and data zone area  30 June 2012",SMMyyddHH,TRUE
2317328 Snapshot Date,,FALSE
2317351 Monthly Burn Rate,,FALSE
2317351 Months of Cash,ss.SS,TRUE
2317413 Birth Date,dd/MM/yyyy,TRUE
2317413 Claims in the last 36 months,MM,TRUE
2317413 Inception Date,dd/MM/yyyy,TRUE
2317413 Life time premium,HHmmss.SS,TRUE
2317413 Sasria domestic motor Total,ss.SS,TRUE
2317701 Sentiment Score,ss.SS,TRUE
2317711 INITIAL HIRE DATE,yyyy-MM-dd,TRUE
2317824 Have your nurses been communicating well with you  How comfortable are you with answering the following questions via the 'Mess,,FALSE
2317824 Message board  Requests Board Patients communicate their specific needs to their care-team by selecting icons that match their ,,FALSE
2317832 Month 1,MM,TRUE
2317832 Service Time,yyyy,TRUE
2317832 Time Open 1,mm:ss:SS,TRUE
2317849 cumul_time,ss.SS,TRUE
2317856 DATASET,yyyy Playoffs,TRUE
2317939 date,[dd/MMM/yyyy:HH:mm:ss,TRUE
2318156 date,,FALSE
2318162 GameDate,,FALSE
2318196 Standard to update,,FALSE
2318304 Month,MMM,TRUE
2318327 Mes,MMMio,TRUE
2318384 SALE DATE,MM/dd/yyyy,TRUE
2318398 NÃ_Â€ÂŒÃ«Ã_Â‰ÂŒ_mero de HDT Aves,yy,TRUE
2318398 NÃ_Â€ÂŒÃ«Ã_Â‰ÂŒ_mero de HDT Huerto,yy,TRUE
2318398 NÃ_Â€ÂŒÃ«Ã_Â‰ÂŒ_mero de HDT Otras,yy,TRUE
2318398 NÃ_Â€ÂŒÃ«Ã_Â‰ÂŒ_mero de HDT Pastos,yy,TRUE
2318437 TimeQrts,yy,TRUE
2318480 Lifetime Engaged Users,yy,TRUE
2318480 Lifetime Negative Feedback from Users,MM,TRUE
2318480 Lifetime People who have liked your Page and engaged with your post,yy,TRUE
2318480 Lifetime Post Impressions by people who have liked your Page,HHmm,TRUE
2318480 Lifetime Post Organic Impressions,yyyy,TRUE
2318480 Lifetime Post Total Impressions,yyyy,TRUE
2318480 Lifetime Post Total Reach,MMyy,TRUE
2318480 Lifetime Post viral reach,yy,TRUE
2318480 Lifetime Talking About This (Post),yy,TRUE
2318480 Post Message,,FALSE
2318812 DTID,,FALSE
2318877 DataPointID,yyyy,TRUE
2318877 PhysicalDisk(0 C ) % Disk Write Time,ss.SS,TRUE
2318945 Products Produced Per Month,MMddyy,TRUE
2318953 MaandT,MMM,TRUE
2319311 Created    Paid bucket,mm-ss days,TRUE
2319520 CHPRDTYP,MM,TRUE
2319520 TIMECAT,mmss,TRUE
2319673 facebook.message,,FALSE
2319673 twitter.created_at,"EEE, dd MMM yyyy HH:mm:ss Z",TRUE
2319673 twitter.user.created_at,"EEE, dd MMM yyyy HH:mm:ss Z",TRUE
2319729 mes,MMMM,TRUE
2319993 data entry by,,FALSE
2320066 Games Played,yy,TRUE
2320110 Time Of Possession,yyyy,TRUE
2320220 Meshblock_ID,MMddyyyy,TRUE
2320391 Uptime,ss.SS,TRUE
2320480 Date_Naissance,yyyyMMdd,TRUE
2320694 DATE,dd-MM-yy,TRUE
2320802 mess,ss.SS,TRUE
2320844 Days in Month,yy,TRUE
2320879 ActualElapsedTime,mmss.SS,TRUE
2320879 AirTime,mmss.SS,TRUE
2320879 ArrTime,HHmm,TRUE
2320879 ArrTimeBlk,MMddHH-yyyy,TRUE
2320879 CRSArrTime,yy,TRUE
2320879 CRSElapsedTime,mmss.SS,TRUE
2320879 DepTime,HHmm,TRUE
2320879 Div1TotalGTime,mmss.SS,TRUE
2320879 Div2TotalGTime,mm.ss,TRUE
2320879 FirstDepTime,yyyy,TRUE
2320879 TotalAddGTime,mmss.SS,TRUE
2320982 Create Date,,FALSE
2321206 Duracion (meses),MM,TRUE
2321382 O conselho realizou reuniÃ_Â€ÂŒÃ«Ã_Â‰ÂŒÂ£o nos Ã_Â€ÂŒÃ«Ã_Â‰ÂŒ_ltimos 12 meses,,FALSE
2321622 EnglishMonthName,MMMM,TRUE
2321622 SpanishMonthName,MMMiembre,TRUE
2321728 course_view (How many times the student accessed the description and the basic material of each weekly laboratory session),MMyy,TRUE
2321728 forum_view (How many times the student accessed the forum section),mm,TRUE
2321728 glossary_view (How many times the student accessed the glossary section),mm,TRUE
"2321728 Moodle_use_capability_perceptions (How capable did the students thought they were, while using Moodle during the semester)",MM,TRUE
2321732 Date,MMMM dd,TRUE
2321985 MES,MMMM yy,TRUE
2321986 Completed Date(month-year),MM-yyyy,TRUE
2322292 Fecha de TÃ_Â€ÂŒÃ«Ã_Â‰ÂŒÂ©rmino,dd/MM/yyyy,TRUE
